Model,Mean Value (Key 1),Rank (Key 1)
unimolv2_esmc_KCAT,0.76615425332825,1.0
chemberta2_esmc_KCAT,0.7609723272212393,2.0
molgen_esmc_KCAT,0.758348338271316,3.0
unimolv2_prott5_KCAT,0.755732292762926,4.0
chemberta2_prott5_KCAT,0.7539473099784717,5.0
smitrans_esmc_KCAT,0.7517597036526088,6.0
unimolv2_esm2_KCAT,0.749836116259861,7.0
unimolv2_esm1b_KCAT,0.7460226806545546,8.0
chemberta2_esm2_KCAT,0.7450540623363434,9.0
unimolv1_esmc_KCAT,0.7448363656810477,10.0
molgen_prott5_KCAT,0.7439269928921394,11.0
chemberta2_esm1b_KCAT,0.7419904809591946,12.0
molgen_esm2_KCAT,0.7413623475495758,13.0
ecfp_esmc_KCAT,0.7410342980025554,14.0
smitrans_prott5_KCAT,0.7398420573874771,15.0
molebert_esmc_KCAT,0.7373413677253053,16.0
molgen_esm1b_KCAT,0.7369303711032233,17.0
unimolv1_prott5_KCAT,0.7359131098863123,18.0
ecfp_prott5_KCAT,0.7350380585840646,19.0
smitrans_esm2_KCAT,0.734746804143176,20.0
smitrans_esm1b_KCAT,0.7294181556885959,21.0
molebert_prott5_KCAT,0.7291955019424464,22.0
unimolv1_esm2_KCAT,0.7287441082934577,23.0
ecfp_esm2_KCAT,0.7274323779760311,24.0
unimolv1_esm1b_KCAT,0.7259080947397412,25.0
ecfp_esm1b_KCAT,0.7231854522567547,26.0
molebert_esm2_KCAT,0.7213821156418267,27.0
rdkitfp_esmc_KCAT,0.7195834281507448,28.0
molebert_esm1b_KCAT,0.715837613495047,29.0
maccskeys_esmc_KCAT,0.7145243590007209,30.0
maccskeys_prott5_KCAT,0.708738505904323,31.0
rdkitfp_prott5_KCAT,0.7075665239203871,32.0
maccskeys_esm2_KCAT,0.700134980343042,33.0
rdkitfp_esm2_KCAT,0.6998454924881752,34.0
maccskeys_esm1b_KCAT,0.697568183884349,35.0
rdkitfp_esm1b_KCAT,0.6968752618813803,36.0
unimolv2_prollama_KCAT,0.69548670404587,37.0
chemberta2_prollama_KCAT,0.6909999598433547,38.0
molgen_prollama_KCAT,0.6791482002187428,39.0
ecfp_prollama_KCAT,0.6787791303374606,40.0
molebert_prollama_KCAT,0.6771475846733883,41.0
unimolv1_prollama_KCAT,0.673544485558027,42.0
smitrans_prollama_KCAT,0.6727143314208944,43.0
rdkitfp_prollama_KCAT,0.6545263721440211,44.0
maccskeys_prollama_KCAT,0.6443389251970035,45.0
