Model,Mean Value (Key 6),Rank (Key 6)
molebert_esmc_KM,0.8273591837034397,1.0
rdkitfp_esmc_KM,0.8116231915015331,2.0
molebert_esm1b_KM,0.8088379489450082,3.0
rdkitfp_esm2_KM,0.8046273672839354,4.0
maccskeys_esmc_KM,0.8016723357042871,5.0
molgen_esmc_KM,0.7967042109492224,6.0
ecfp_esm2_KM,0.7950594394347622,7.0
rdkitfp_esm1b_KM,0.7925309850262907,8.0
molebert_esm2_KM,0.7865759410377996,9.0
molgen_esm2_KM,0.7860884047244964,10.0
unimolv1_esmc_KM,0.7854580564893947,11.0
smitrans_esm2_KM,0.7843513717065859,12.0
ecfp_esm1b_KM,0.781500586572159,13.0
ecfp_esmc_KM,0.7782903675027965,14.0
unimolv2_esm1b_KM,0.7748485694823614,15.0
smitrans_esmc_KM,0.7745036438330465,16.0
ecfp_prott5_KM,0.7704500978613462,17.0
unimolv2_esmc_KM,0.770381903693492,18.0
unimolv1_esm2_KM,0.7700615095094481,19.0
rdkitfp_prott5_KM,0.7698903482579655,20.0
chemberta2_esmc_KM,0.768857126290215,21.0
molebert_prott5_KM,0.7654681934888831,22.0
maccskeys_esm2_KM,0.7648416809534089,23.0
unimolv2_esm2_KM,0.7642261605116697,24.0
maccskeys_prott5_KM,0.7630246342865867,25.0
molgen_esm1b_KM,0.7625704002441598,26.0
maccskeys_esm1b_KM,0.7587186822801176,27.0
chemberta2_esm2_KM,0.756257554548686,28.0
smitrans_esm1b_KM,0.7452988524725297,29.0
chemberta2_prott5_KM,0.7438731003898722,30.0
chemberta2_esm1b_KM,0.7402793472322851,31.0
molgen_prott5_KM,0.7392760355483621,32.0
smitrans_prott5_KM,0.7371528725511768,33.0
unimolv2_prott5_KM,0.7367713541170545,34.0
unimolv1_prott5_KM,0.731923775262028,35.0
unimolv1_esm1b_KM,0.7238714914164417,36.0
molebert_prollama_KM,0.6298264104567854,37.0
unimolv1_prollama_KM,0.6230790866058837,38.0
molgen_prollama_KM,0.6062197678686295,39.0
rdkitfp_prollama_KM,0.6041824818866385,40.0
chemberta2_prollama_KM,0.6028389678411316,41.0
smitrans_prollama_KM,0.6018200924715911,42.0
unimolv2_prollama_KM,0.6017111048972198,43.0
ecfp_prollama_KM,0.5754009786389038,44.0
maccskeys_prollama_KM,0.5538345203513592,45.0
